round,teams,date_time,result
'21','Mirassol x Avaí','2023-08-01T19:00','2 x 2'
'21','Sampaio Corrêa x Botafogo-SP','2023-08-01T19:00','0 x 0'
'21','CRB x Atlético-GO','2023-08-01T21:30','2 x 1'
'21','Criciúma x Ponte Preta','2023-08-02T19:00','2 x 1'
'21','Ituano x Tombense','2023-08-02T19:00','1 x 0'
'21','Guarani x Ceará','2023-08-02T21:30','0 x 0'
'21','Vila Nova x Sport','2023-08-02T21:30','0 x 1'
'21','Vitória x ABC','2023-08-02T21:30','2 x 0'
'21','Juventude x Novorizontino','2023-08-02T21:30','1 x 0'
'21','Londrina x Chapecoense','2023-08-02T21:30','1 x 1'
'20','Ceará x Ituano','2023-07-28T19:00','1 x 1'
'20','Sport x CRB','2023-07-28T21:30','2 x 0'
'20','Chapecoense x Mirassol','2023-07-29T11:00','0 x 1'
'20','Botafogo-SP x Juventude','2023-07-29T15:30','0 x 2'
'20','Avaí x Guarani','2023-07-29T17:00','1 x 2'
'20','ABC x Londrina','2023-07-29T17:00','0 x 0'
'20','Atlético-GO x Sampaio Corrêa','2023-07-29T18:00','2 x 2'
'20','Tombense x Criciúma','2023-07-30T11:00','2 x 2'
'20','Novorizontino x Vila Nova','2023-07-30T15:30','3 x 1'
'20','Ponte Preta x Vitória','2023-07-30T18:00','2 x 2'
'19','CRB x Ponte Preta','2023-07-21T19:00','1 x 0'
'19','Mirassol x Tombense','2023-07-22T15:30','2 x 0'
'19','Vila Nova x ABC','2023-07-22T17:00','1 x 1'
'19','Criciúma x Novorizontino','2023-07-22T17:00','0 x 1'
'19','Ituano x Avaí','2023-07-22T18:00','0 x 1'
'19','Guarani x Atlético-GO','2023-07-23T11:00','1 x 0'
'19','Juventude x Ceará','2023-07-23T15:30','1 x 0'
'19','Sampaio Corrêa x Sport','2023-07-23T18:00','1 x 2'
'19','Vitória x Chapecoense','2023-07-24T19:00','1 x 0'
'19','Londrina x Botafogo-SP','2023-07-24T19:00','1 x 2'
'18','Botafogo-SP x Criciúma','2023-07-17T20:00','1 x 0'
'18','Tombense x CRB','2023-07-18T18:00','2 x 1'
'18','Chapecoense x Ituano','2023-07-18T19:00','1 x 0'
'18','Ponte Preta x Juventude','2023-07-18T21:30','0 x 0'
'18','Atlético-GO x Mirassol','2023-07-19T19:00','2 x 2'
'18','Novorizontino x Londrina','2023-07-19T19:00','3 x 0'
'18','Avaí x Sampaio Corrêa','2023-07-19T21:30','2 x 0'
'18','Sport x Vitória','2023-07-19T21:30','1 x 2'
'18','Ceará x Vila Nova','2023-07-19T21:30','1 x 0'
'18','ABC x Guarani','2023-07-19T21:30','0 x 1'
'17','Criciúma x Guarani','2023-07-13T20:00','1 x 1'
'17','Atlético-GO x Sport','2023-07-14T21:30','3 x 1'
'17','Sampaio Corrêa x Ituano','2023-07-14T21:30','0 x 0'
'17','Juventude x ABC','2023-07-15T11:00','1 x 1'
'17','Ponte Preta x Tombense','2023-07-15T17:00','0 x 1'
'17','Londrina x Vila Nova','2023-07-15T17:00','1 x 0'
'17','Mirassol x Ceará','2023-07-16T15:30','1 x 1'
'17','Vitória x Novorizontino','2023-07-16T18:00','2 x 1'
'17','CRB x Avaí','2023-08-23T19:00','1 x 1'
'17','Botafogo-SP x Chapecoense','2023-08-23T21:30','1 x 2'
'16','Novorizontino x Atlético-GO','2023-07-07T19:00','2 x 2'
'16','Ceará x Botafogo-SP','2023-07-07T21:30','3 x 0'
'16','Guarani x Londrina','2023-07-08T11:00','2 x 1'
'16','ABC x Criciúma','2023-07-08T15:30','0 x 1'
'16','Avaí x Ponte Preta','2023-07-08T17:00','0 x 1'
'16','Ituano x Juventude','2023-07-08T17:00','1 x 1'
'16','Tombense x Sampaio Corrêa','2023-07-08T18:00','0 x 1'
'16','Chapecoense x CRB','2023-07-09T15:30','2 x 1'
'16','Sport x Mirassol','2023-07-09T18:00','0 x 0'
'16','Vila Nova x Vitória','2023-07-10T20:00','1 x 0'
'15','Tombense x Chapecoense','2023-06-30T21:30','4 x 2'
'15','Atlético-GO x Vila Nova','2023-07-01T16:00','1 x 1'
'15','Avaí x ABC','2023-07-01T17:00','0 x 2'
'15','Sampaio Corrêa x Criciúma','2023-07-01T17:00','0 x 2'
'15','CRB x Londrina','2023-07-01T18:15','2 x 1'
'15','Juventude x Vitória','2023-07-02T15:30','1 x 0'
'15','Sport x Ceará','2023-07-02T18:00','2 x 0'
'15','Ponte Preta x Novorizontino','2023-07-02T20:30','1 x 0'
'15','Mirassol x Ituano','2023-07-03T18:00','0 x 1'
'15','Botafogo-SP x Guarani','2023-07-03T20:15','1 x 0'
'14','Criciúma x CRB','2023-06-27T19:00','2 x 1'
'14','Chapecoense x Sport','2023-06-27T19:00','1 x 1'
'14','Vila Nova x Tombense','2023-06-27T21:30','1 x 0'
'14','Novorizontino x Botafogo-SP','2023-06-27T21:30','0 x 1'
'14','Ceará x Avaí','2023-06-28T19:00','0 x 0'
'14','ABC x Atlético-GO','2023-06-28T19:00','1 x 1'
'14','Guarani x Mirassol','2023-06-28T21:30','2 x 1'
'14','Ituano x Ponte Preta','2023-06-28T21:30','0 x 1'
'14','Vitória x Sampaio Corrêa','2023-06-28T21:30','2 x 1'
'14','Londrina x Juventude','2023-06-28T21:30','1 x 2'
'13','CRB x Ituano','2023-06-21T19:00','2 x 2'
'13','Sport x Juventude','2023-06-22T21:30','3 x 0'
'13','Atlético-GO x Ponte Preta','2023-06-23T19:00','1 x 0'
'13','Botafogo-SP x Vila Nova','2023-06-24T11:00','0 x 3'
'13','Avaí x Londrina','2023-06-24T16:00','0 x 0'
'13','Chapecoense x Criciúma','2023-06-24T17:00','1 x 1'
'13','Tombense x Novorizontino','2023-06-24T18:15','1 x 2'
'13','Mirassol x ABC','2023-06-25T11:00','3 x 2'
'13','Sampaio Corrêa x Ceará','2023-06-25T15:30','1 x 1'
'13','Guarani x Vitória','2023-06-25T18:00','2 x 0'
'12','ABC x Chapecoense','2023-06-09T21:30','1 x 1'
'12','Vila Nova x Guarani','2023-06-10T16:00','0 x 0'
'12','Ituano x Atlético-GO','2023-06-10T17:00','1 x 1'
'12','Novorizontino x Sampaio Corrêa','2023-06-10T17:00','1 x 0'
'12','Ceará x CRB','2023-06-10T19:30','1 x 3'
'12','Ponte Preta x Sport','2023-06-11T11:00','1 x 1'
'12','Londrina x Mirassol','2023-06-11T11:00','1 x 2'
'12','Avaí x Botafogo-SP','2023-06-11T15:30','1 x 1'
'12','Vitória x Criciúma','2023-06-11T18:00','0 x 1'
'12','Juventude x Tombense','2023-06-11T18:15','1 x 2'
'11','Ponte Preta x ABC','2023-06-06T19:00','0 x 0'
'11','Chapecoense x Vila Nova','2023-06-06T19:00','0 x 1'
'11','Tombense x Vitória','2023-06-06T19:00','1 x 2'
'11','Atlético-GO x Ceará','2023-06-06T21:30','0 x 3'
'11','Botafogo-SP x Ituano','2023-06-06T21:30','0 x 2'
'11','Novorizontino x Guarani','2023-06-07T19:00','1 x 0'
'11','Sport x Avaí','2023-06-07T19:00','2 x 1'
'11','Sampaio Corrêa x Londrina','2023-06-07T19:00','2 x 0'
'11','CRB x Mirassol','2023-06-07T21:30','2 x 0'
'11','Criciúma x Juventude','2023-06-08T16:00','0 x 1'
'10','Botafogo-SP x Tombense','2023-06-02T19:00','0 x 0'
'10','Ceará x Chapecoense','2023-06-02T19:00','2 x 0'
'10','Criciúma x Atlético-GO','2023-06-02T21:30','3 x 0'
'10','Vitória x Ituano','2023-06-02T21:30','3 x 0'
'10','Juventude x Avaí','2023-06-03T16:00','3 x 2'
'10','Mirassol x Ponte Preta','2023-06-03T17:00','1 x 0'
