round,teams,date_time,result
'12','Fortaleza x Atlético-MG','2023-06-24T18:30','2 x 1'
'12','Cruzeiro x São Paulo','2023-06-24T21:00','1 x 0'
'12','Palmeiras x Botafogo','2023-06-25T16:00','0 x 1'
'12','Grêmio x Coritiba','2023-06-25T16:00','5 x 1'
'12','Santos x Flamengo','2023-06-25T18:30','2 x 3'
'12','Bragantino x Goiás','2023-06-25T18:30','2 x 0'
'12','América-MG x Internacional','2023-06-25T18:30','1 x 2'
'12','Vasco x Cuiabá','2023-06-26T21:00','1 x 0'
'11','São Paulo x Athletico-PR','2023-06-21T19:00','2 x 1'
'11','Cruzeiro x Fortaleza','2023-06-21T19:00','0 x 1'
'11','Santos x Corinthians','2023-06-21T20:00','0 x 2'
'11','Fluminense x Atlético-MG','2023-06-21T21:30','1 x 1'
'11','Bahia x Palmeiras','2023-06-21T21:30','1 x 0'
'11','Grêmio x América-MG','2023-06-22T19:00','3 x 1'
'11','Vasco x Goiás','2023-06-22T20:00','0 x 1'
'11','Coritiba x Internacional','2023-06-22T20:00','0 x 1'
'11','Cuiabá x Botafogo','2023-06-22T20:00','0 x 1'
'11','Bragantino x Flamengo','2023-06-22T21:30','4 x 0'
'10','Coritiba x Santos','2023-06-10T16:00','0 x 0'
'10','Corinthians x Cuiabá','2023-06-10T18:30','1 x 1'
'10','Atlético-MG x Bragantino','2023-06-10T18:30','1 x 1'
'10','Bahia x Cruzeiro','2023-06-10T18:30','2 x 2'
'10','Botafogo x Fortaleza','2023-06-10T21:00','2 x 0'
'10','América-MG x Athletico-PR','2023-06-11T11:00','2 x 2'
'10','São Paulo x Palmeiras','2023-06-11T16:00','0 x 2'
'10','Internacional x Vasco','2023-06-11T16:00','2 x 1'
'10','Flamengo x Grêmio','2023-06-11T18:30','3 x 0'
'10','Goiás x Fluminense','2023-06-11T18:30','2 x 2'
'9','Fortaleza x Bahia','2023-06-03T16:00','0 x 0'
'9','Cruzeiro x Atlético-MG','2023-06-03T18:30','0 x 1'
'9','Athletico-PR x Botafogo','2023-06-03T18:30','1 x 0'
'9','América-MG x Corinthians','2023-06-03T18:30','2 x 0'
'9','Santos x Internacional','2023-06-03T21:00','1 x 1'
'9','Fluminense x Bragantino','2023-06-04T16:00','2 x 1'
'9','Grêmio x São Paulo','2023-06-04T16:00','2 x 1'
'9','Palmeiras x Coritiba','2023-06-04T18:30','3 x 1'
'9','Goiás x Cuiabá','2023-06-04T18:30','0 x 1'
'9','Vasco x Flamengo','2023-06-05T20:00','1 x 4'
'8','Athletico-PR x Grêmio','2023-05-27T16:00','1 x 2'
'8','Fortaleza x Vasco','2023-05-27T16:00','2 x 0'
'8','Flamengo x Cruzeiro','2023-05-27T18:30','1 x 1'
'8','Cuiabá x Coritiba','2023-05-27T18:30','1 x 1'
'8','São Paulo x Goiás','2023-05-27T21:00','2 x 1'
'8','Corinthians x Fluminense','2023-05-28T16:00','2 x 0'
'8','Internacional x Bahia','2023-05-28T16:00','2 x 0'
'8','Bragantino x Santos','2023-05-28T18:30','2 x 0'
'8','Atlético-MG x Palmeiras','2023-05-28T18:30','1 x 1'
'8','Botafogo x América-MG','2023-05-28T19:00','2 x 0'
'7','Bahia x Goiás','2023-05-20T16:00','1 x 1'
'7','Botafogo x Fluminense','2023-05-20T18:30','1 x 0'
'7','São Paulo x Vasco','2023-05-20T18:30','4 x 2'
'7','Bragantino x Athletico-PR','2023-05-20T18:30','2 x 0'
'7','Coritiba x Atlético-MG','2023-05-20T18:30','1 x 2'
'7','América-MG x Fortaleza','2023-05-20T18:30','2 x 1'
'7','Santos x Palmeiras','2023-05-20T21:00','0 x 0'
'7','Flamengo x Corinthians','2023-05-21T16:00','1 x 0'
'7','Grêmio x Internacional','2023-05-21T18:30','3 x 1'
'7','Cruzeiro x Cuiabá','2023-05-22T20:00','0 x 1'
'6','Bahia x Flamengo','2023-05-13T16:00','2 x 3'
'6','Fluminense x Cuiabá','2023-05-13T18:30','2 x 0'
'6','Palmeiras x Bragantino','2023-05-13T18:30','1 x 1'
'6','Atlético-MG x Internacional','2023-05-13T21:00','2 x 0'
'6','Vasco x Santos','2023-05-14T16:00','0 x 1'
'6','Corinthians x São Paulo','2023-05-14T16:00','1 x 1'
'6','Grêmio x Fortaleza','2023-05-14T16:00','0 x 0'
'6','Goiás x Botafogo','2023-05-14T18:30','2 x 1'
'6','Athletico-PR x Coritiba','2023-05-14T18:30','3 x 2'
'6','América-MG x Cruzeiro','2023-05-14T18:30','0 x 4'
'5','Santos x Bahia','2023-05-10T19:00','3 x 0'
'5','Bragantino x América-MG','2023-05-10T19:00','2 x 2'
'5','Internacional x Athletico-PR','2023-05-10T19:00','0 x 2'
'5','Flamengo x Goiás','2023-05-10T20:00','2 x 0'
'5','Cuiabá x Atlético-MG','2023-05-10T20:00','0 x 4'
'5','Palmeiras x Grêmio','2023-05-10T21:30','4 x 1'
'5','Cruzeiro x Fluminense','2023-05-10T21:30','0 x 2'
'5','Coritiba x Vasco','2023-05-11T19:00','1 x 1'
'5','Botafogo x Corinthians','2023-05-11T19:30','3 x 0'
'5','Fortaleza x São Paulo','2023-05-11T20:00','0 x 0'
'4','Cruzeiro x Santos','2023-05-06T16:00','2 x 1'
'4','Fluminense x Vasco','2023-05-06T21:00','1 x 1'
'4','América-MG x Cuiabá','2023-05-07T11:00','1 x 2'
'4','São Paulo x Internacional','2023-05-07T16:00','2 x 0'
'4','Athletico-PR x Flamengo','2023-05-07T16:00','2 x 1'
'4','Bahia x Coritiba','2023-05-07T16:00','3 x 1'
'4','Botafogo x Atlético-MG','2023-05-07T18:30','2 x 0'
'4','Goiás x Palmeiras','2023-05-07T18:30','0 x 5'
'4','Grêmio x Bragantino','2023-05-07T18:30','3 x 3'
'4','Corinthians x Fortaleza','2023-05-08T20:00','1 x 1'
'3','Coritiba x São Paulo','2023-04-29T16:30','1 x 1'
'3','Fortaleza x Fluminense','2023-04-29T16:30','4 x 2'
'3','Palmeiras x Corinthians','2023-04-29T18:30','2 x 1'
'3','Santos x América-MG','2023-04-29T18:30','3 x 2'
'3','Bragantino x Cruzeiro','2023-04-29T18:30','0 x 3'
'3','Atlético-MG x Athletico-PR','2023-04-29T21:00','2 x 1'
'3','Flamengo x Botafogo','2023-04-30T16:00','2 x 3'
'3','Internacional x Goiás','2023-04-30T18:30','1 x 0'
'3','Cuiabá x Grêmio','2023-04-30T18:30','1 x 2'
'3','Vasco x Bahia','2023-05-01T20:00','0 x 1'
'2','Fluminense x Athletico-PR','2023-04-22T16:00','2 x 0'
'2','São Paulo x América-MG','2023-04-22T18:30','3 x 0'
'2','Cuiabá x Bragantino','2023-04-22T18:30','1 x 1'
'2','Cruzeiro x Grêmio','2023-04-22T21:00','1 x 0'
'2','Internacional x Flamengo','2023-04-23T11:00','2 x 1'
'2','Vasco x Palmeiras','2023-04-23T16:00','2 x 2'
'2','Santos x Atlético-MG','2023-04-23T16:00','0 x 0'
'2','Coritiba x Fortaleza','2023-04-23T18:30','0 x 3'
'2','Goiás x Corinthians','2023-04-23T19:00','3 x 1'
'2','Bahia x Botafogo','2023-04-24T20:00','1 x 2'
'1','Palmeiras x Cuiabá','2023-04-15T16:00','2 x 1'
'1','América-MG x Fluminense','2023-04-15T16:00','0 x 3'
'1','Botafogo x São Paulo','2023-04-15T18:30','2 x 1'
'1','Bragantino x Bahia','2023-04-15T18:30','2 x 1'
'1','Athletico-PR x Goiás','2023-04-15T18:30','2 x 0'
'1','Fortaleza x Internacional','2023-04-15T18:30','1 x 1'
'1','Atlético-MG x Vasco','2023-04-15T21:00','1 x 2'
'1','Flamengo x Coritiba','2023-04-16T16:00','3 x 0'
'1','Corinthians x Cruzeiro','2023-04-16T16:00','2 x 1'
'1','Grêmio x Santos','2023-04-16T18:30','1 x 0'
